event_date,f1name,f2name,f1result,f2result,method,method_d,round,time
2/26/12,Anthony Pettis,Joe Lauzon,win,loss,KO,Head Kick and Punches,1,1:21
1/26/13,Anthony Pettis,Donald Cerrone,win,loss,KO,Kick to the Body,1,2:35
8/31/13,Anthony Pettis,Benson Henderson,win,loss,Submission,Armbar,1,4:31
12/6/14,Anthony Pettis,Gilbert Melendez,win,loss,Submission,Guillotine Choke,2,1:53
2/21/16,Anthony Smith,Leonardo Guimaraes,win,loss,Decision,Unanimous,3,5:00
8/17/06,Anthony Torres,Pat Healy,win,loss,Submission,Rear-Naked Choke,1,2:37
7/21/12,Anton Kuivanen,Mitch Clarke,win,loss,Decision,Split,3,5:00
11/18/06,Antoni Hardonk,Sherman Pendergarst,win,loss,KO,Punch,1,3:15
1/19/08,Antoni Hardonk,Colin Robinson,win,loss,TKO,Punch,1,0:17
6/7/08,Antoni Hardonk,Eddie Sanchez,win,loss,TKO,Punches,2,4:15
12/27/08,Antoni Hardonk,Mike Wessel,win,loss,TKO,Punches,2,2:09
6/8/13,Antonio Braga Neto,Anthony Smith,win,loss,Submission,Kneebar,1,1:52
5/31/14,Antonio Carlos Jr.,Vitor Miranda,win,loss,Decision,Unanimous,3,5:00
6/27/15,Antonio Carlos Jr.,Eddie Gordon,win,loss,Submission,Rear-Naked Choke,3,4:37
7/21/12,Antonio Carvalho,Daniel Pineda,win,loss,KO,Punches,1,1:11
11/17/12,Antonio Carvalho,Rodrigo Damm,win,loss,Decision,Split,3,5:00
7/7/07,Antonio Rodrigo Nogueira,Heath Herring,win,loss,Decision,Unanimous,3,5:00
2/2/08,Antonio Rodrigo Nogueira,Tim Sylvia,win,loss,Submission,Guillotine Choke,3,1:28
8/29/09,Antonio Rodrigo Nogueira,Randy Couture,win,loss,Decision,Unanimous,3,5:00
8/27/11,Antonio Rodrigo Nogueira,Brendan Schaub,win,loss,KO,Punches,1,3:09
10/13/12,Antonio Rodrigo Nogueira,Dave Herman,win,loss,Submission,Armbar,2,4:31
11/21/09,Antonio Rogerio Nogueira,Luiz Cane,win,loss,TKO,Punches,1,1:56
5/29/10,Antonio Rogerio Nogueira,Jason Brilz,win,loss,Decision,Split,3,5:00
12/10/11,Antonio Rogerio Nogueira,Tito Ortiz,win,loss,TKO,Punches and Elbows to the Body,1,3:15
2/2/13,Antonio Rogerio Nogueira,Rashad Evans,win,loss,Decision,Unanimous,3,5:00
10/5/12,Antonio Silva,Travis Browne,win,loss,TKO,Punches,1,3:27
2/2/13,Antonio Silva,Alistair Overeem,win,loss,KO,Punches,3,0:25
8/1/15,Antonio Silva,Soa Palelei,win,loss,TKO,Punches,2,0:41
3/1/14,Anying Wang,Albert Cheng,win,loss,TKO,Doctor Stoppage,1,5:00
6/20/15,Arnold Allen,Alan Omer,win,loss,Submission,Guillotine Choke,3,1:41
2/21/16,Ashlee Evans-Smith,Marion Reneau,win,loss,Decision,Split,3,5:00
11/15/14,Augusto Montano,Chris Heatherly,win,loss,TKO,Knees,1,4:50
5/4/01,B.J. Penn,Joey Gilbert,win,loss,TKO,Punches,1,4:57
6/29/01,B.J. Penn,Din Thomas,win,loss,TKO,Knee and Punches,1,2:42
11/2/01,B.J. Penn,Caol Uno,win,loss,KO,Punches,1,0:11
5/10/02,B.J. Penn,Paul Creighton,win,loss,TKO,Punches,2,3:23
9/27/02,B.J. Penn,Matt Serra,win,loss,Decision,Unanimous,3,5:00
2/28/03,B.J. Penn,Caol Uno,draw,draw,Draw,,5,5:00
1/31/04,B.J. Penn,Matt Hughes,win,loss,Submission,Rear-Naked Choke,1,4:39
6/23/07,B.J. Penn,Jens Pulver,win,loss,Submission,Rear-Naked Choke,2,3:12
1/19/08,B.J. Penn,Joe Stevenson,win,loss,Submission,Rear-Naked Choke,2,4:02
5/24/08,B.J. Penn,Sean Sherk,win,loss,TKO,Knee and Punches,3,5:00
8/8/09,B.J. Penn,Kenny Florian,win,loss,Submission,Rear-Naked Choke,4,3:54
12/12/09,B.J. Penn,Diego Sanchez,win,loss,TKO,Doctor Stoppage,5,2:37
11/20/10,B.J. Penn,Matt Hughes,win,loss,KO,Punches,1,0:21
10/29/11,Bart Palaszewski,Tyson Griffin,win,loss,KO,Punches,1,2:45
4/11/15,Bartosz Fabinski,Garreth McLellan,win,loss,Decision,Unanimous,3,5:00
11/21/15,Bartosz Fabinski,Hector Urbina,win,loss,Decision,Unanimous,3,5:00
1/8/99,Bas Rutten,Tsuyoshi Kosaka,win,loss,TKO,Punches,1,14:15
5/7/99,Bas Rutten,Kevin Randleman,win,loss,Decision,Split,1,21:00
5/10/15,Bec Rawlings,Lisa Ellis,win,loss,Submission,Rear-Naked Choke,1,4:09
12/15/12,Ben Alloway,Manuel Rodriguez,win,loss,KO,Front Kick and Punches,1,4:57
11/17/00,Ben Earwood,Chris Lytle,win,loss,Decision,Unanimous,2,5:00
5/10/15,Ben Nguyen,Alptekin Ozkilic,win,loss,KO,Punches,1,4:59
11/14/15,Ben Nguyen,Ryan Benoit,win,loss,Submission,Rear-Naked Choke,1,2:35
6/12/10,Ben Rothwell,Gilbert Yvel,win,loss,Decision,Unanimous,3,5:00
4/21/12,Ben Rothwell,Brendan Schaub,win,loss,KO,Punches,1,1:10
8/31/13,Ben Rothwell,Brandon Vera,win,loss,TKO,Punches and Knees,3,1:54
9/5/14,Ben Rothwell,Alistair Overeem,win,loss,TKO,Punches,1,2:19
6/6/15,Ben Rothwell,Matt Mitrione,win,loss,Submission,Guillotine Choke,1,1:54
1/30/16,Ben Rothwell,Josh Barnett,win,loss,Submission,Guillotine Choke,2,3:48
12/8/07,Ben Saunders,Daniel Barrera,win,loss,Decision,Unanimous,3,5:00
8/9/08,Ben Saunders,Ryan Thomas,win,loss,Submission,Armbar,2,2:28
12/10/08,Ben Saunders,Brandon Wolff,win,loss,TKO,Knees,1,1:49
11/21/09,Ben Saunders,Marcus Davis,win,loss,KO,Knees,1,3:24
8/23/14,Ben Saunders,Chris Heatherly,win,loss,Submission,Omoplata,1,2:18
12/13/14,Ben Saunders,Joe Riggs,win,loss,TKO,Neck Injury,1,0:57
7/25/15,Ben Saunders,Kenny Robertson,win,loss,Decision,Split,3,5:00
1/15/14,Beneil Dariush,Charlie Brenneman,win,loss,Submission,Rear-Naked Choke,1,1:45
8/23/14,Beneil Dariush,Tony Martin,win,loss,Submission,Arm-Triangle Choke,2,3:38
10/25/14,Beneil Dariush,Carlos Diego Ferreira,win,loss,Decision,Unanimous,3,5:00
3/14/15,Beneil Dariush,Daron Cruickshank,win,loss,Submission,Rear-Naked Choke,2,2:48
4/18/15,Beneil Dariush,Jim Miller,win,loss,Decision,Unanimous,3,5:00
8/8/15,Beneil Dariush,Michael Johnson,win,loss,Decision,Split,3,5:00
5/10/02,Benji Radach,Steve Berger,NC,NC,No Contest - Overturned by State Commission,,1,0:27
6/22/02,Benji Radach,Nick Serra,win,loss,Decision,Unanimous,3,5:00
4/30/11,Benson Henderson,Mark Bocek,win,loss,Decision,Unanimous,3,5:00
8/14/11,Benson Henderson,Jim Miller,win,loss,Decision,Unanimous,3,5:00
11/12/11,Benson Henderson,Clay Guida,win,loss,Decision,Unanimous,3,5:00
2/26/12,Benson Henderson,Frankie Edgar,win,loss,Decision,Unanimous,5,5:00
8/11/12,Benson Henderson,Frankie Edgar,win,loss,Decision,Split,5,5:00
12/8/12,Benson Henderson,Nate Diaz,win,loss,Decision,Unanimous,5,5:00
4/20/13,Benson Henderson,Gilbert Melendez,win,loss,Decision,Split,5,5:00
1/25/14,Benson Henderson,Josh Thomson,win,loss,Decision,Split,5,5:00
6/7/14,Benson Henderson,Rustam Khabilov,win,loss,Submission,Rear-Naked Choke,4,1:16
2/14/15,Benson Henderson,Brandon Thatch,win,loss,Submission,Rear-Naked Choke,4,3:58
11/28/15,Benson Henderson,Jorge Masvidal,win,loss,Decision,Split,5,5:00
12/7/13,Bethe Correia,Julie Kedzie,win,loss,Decision,Split,3,5:00
4/26/14,Bethe Correia,Jessamyn Duke,win,loss,Decision,Unanimous,3,5:00
8/30/14,Bethe Correia,Shayna Baszler,win,loss,TKO,Punches,2,1:56
3/10/00,Bob Cook,Tiki Ghosn,win,loss,Submission,Rear-Naked Choke,2,1:29
2/2/13,Bobby Green,Jacob Volkmann,win,loss,Submission,Rear-Naked Choke,3,4:25
11/6/13,Bobby Green,James Krause,win,loss,TKO,Kick to the Body,1,3:50
12/14/13,Bobby Green,Pat Healy,win,loss,Decision,Unanimous,3,5:00
